"","County","Total.Votes.For","Total.Votes.Against","fips","County.Name","stabb","lat","lon","sqmiles","state","macode","maname","totpop00","totpop06","chpop","popdens06","pop0_5","pop6_17","pop0_4","pop5_9","pop10_14","pop15_19","pop20_24","pop25_29","pop30_34","pop35_39","pop40_44","pop45_49","pop50_54","pop55_59","pop60_64","pop65_69","pop70_74","pop75_79","pop80_84","pop85up","medage","white","black","natam","asian","pacific","tworace","hispanic","whtnonh","totfam","tothu","owners","renters","vacant","medhhinc","agghhinc","avhhinc","tothh06","hh1per","ihhunder10","ihh10_15k","ihh15_20k","ihh20_25k","ihh25_30k","ihh30_35k","ihh35_40k","ihh40_45k","ihh45_50k","ihh50_60k","ihh60_75k","ihh75_100k","ihh100_125","ihh125_150","ihh150_200","ihh200kpls","inceld65_74","inceld75up","incwhite","incblack","incnatamer","incasian","incpacific","inc2race","pwhite","pblack","phispanic","pnatam","ptworace","asianpac","pasianpac","pop20_34","pop35_49","pop50_64","pop65_up","ppop20_34","ppop35_49","ppop50_64","ppop65_up","ihh0_20","ihh20_40","ihh40_60","pihh0_20","pihh20_40","pihh40_60","pihh60_75","pihh75_100","pihh100_125","pihh125_150","pihh150_200","pihh200_up","Location","statefp","inlabf00","civlab00","emp00","unemp00","pctcivlf00","military00","mfg00","gov00","pmilit00","pgov00","pmfg00","punemp00","pdpres00","pdpres04","prpres00","prpres04","pagri00","pprof00","ptradeser00","mortmonth","pcollroll00","pbornst00","ptransp00","peduc00","pself00","pfampov00","pmobilehh00","phs","pcollege","bigcity2","monied2","boom2","minority2","evangel2","immig2","tractor2","mormon2","service2","empty2","milit2","college2","Counties","bigcity10","monied10","boom10","minority10","evangel10","immig10","tractor10","mormon10","service10","empty10","military10","college10","categories10","Registered.Voters","Ballots.Cast","VoterTurnout","PctRegisteredFor","PctRegisteredAgainst"
"21","Chowan",2272,760,37041,"NC_ Chowan County","NC",36.114153,-76.625394,"172.6",37,"#NULL!"," ","14,526","14,606",0.5,"84.6",NA,NA,905,875,994,NA,NA,912,806,783,943,NA,976,931,766,675,611,529,394,396,43.4,NA,NA,42,42,1,46,323,0,NA,NA,NA,NA,910,NA,NA,NA,NA,NA,763,508,516,475,458,416,407,259,214,518,474,421,112,13,29,24,0,NA,NA,NA,0,NA,0,NA,63.12,36.53,2.22,0.29,0.32,43,0.3,NA,NA,NA,NA,19.1,18.82,18.4,17.93,NA,NA,991,31.45,30.9,17.44,8.34,7.41,1.97,0.23,0.51,0.42,NA,37,NA,NA,NA,434,6.7,13,NA,NA,0.2,20.33,17.26,6.71,50.15,44.67,49.85,55.09,5.12,3.89,30.8,853,24.24,72.89,4.52,23.82,6.74,13.73,20.95,73.1,16.4,12.69,28.61,31.84,49.39,57.36,9.65,55.03,21.88,58.91,9.93,15.44,28.73,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,10616,3071,28.9280331574981,21.4016578749058,7.15900527505652
"22","Clay",1855,646,37043,"NC_ Clay County","NC",35.036054,-83.805183,"214.4",37,"#NULL!"," ","8,775","9,988",13.8,"46.5",573,NA,482,460,517,551,560,517,493,489,601,693,732,807,686,609,548,472,371,400,52.8,NA,102,34,8,4,31,98,0,NA,NA,NA,694,NA,NA,NA,NA,NA,NA,594,345,445,337,340,425,263,215,194,363,273,338,107,67,17,37,NA,0,NA,NA,NA,0,0,NA,111.78,1.16,1.12,0.39,0.35,12,0.14,NA,NA,NA,NA,17.89,20.32,25.36,27.35,NA,NA,772,31.26,30.83,17.43,6.17,7.63,2.42,1.51,0.38,0.84,NA,37,NA,NA,NA,158,4,7,489,607,0.18,15.43,12.43,4.02,36.03,33.46,63.97,65.95,2.28,5.52,31.55,709,24.01,40.1,3.71,19.24,12.68,7.82,19.37,76.5,15.4,12.41,39.99,20.93,25.45,69.95,11.16,60.87,18.11,66.3,8.95,14.87,30.24,NA,0,1,"0",0,0,0,0,0,0,0,0,0,1,9002,2527,28.0715396578538,20.606531881804,7.17618307042879
"23","Cleveland",17799,4406,37045,"NC_ Cleveland County","NC",35.294414,-81.51468,"464.5",37,"#NULL!"," ","96,287","97,963",1.7,"210.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,173,769,10,584,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,339,481,NA,NA,NA,NA,NA,NA,0,NA,78.93,21.21,1.57,0.18,0.61,779,0.81,NA,NA,NA,NA,20.24,21.47,18.31,13.99,NA,NA,NA,26.56,28.31,21.7,9.21,7.03,2.72,0.91,0.89,1.27,NA,37,NA,NA,NA,NA,5.4,43,NA,NA,0.09,11.11,32.07,5.37,41.38,38.34,58.62,61.36,1.24,4.56,26.51,814,18.24,77.66,4.28,17.84,6.31,10.06,21.74,72.2,13.3,13.16,29.5,35.24,38.55,62.23,13.02,42.23,21.43,44.49,9.84,15.22,29.16,NA,0,0,"0",0,1,0,0,0,0,0,0,0,3,60674,22403,36.9235586907077,29.335464943798,7.2617595675248
"24","Columbus",10814,1899,37047,"NC_ Columbus County","NC",34.282722,-78.710211,"936.3",37,"#NULL!"," ","54,749","54,536",-0.3,"58.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,993,948,43.1,NA,NA,NA,121,6,323,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,963,NA,NA,NA,356,123,118,200,NA,NA,NA,NA,NA,NA,NA,NA,64.43,31.15,2.94,3.21,0.59,127,0.23,NA,NA,NA,NA,19.71,20.12,17.99,13.95,NA,NA,NA,37.83,27.43,17.6,6.99,4.92,1.66,0.57,0.55,0.93,NA,37,NA,NA,NA,NA,7.7,49,NA,NA,0.22,15.75,15.65,7.69,54.48,48.81,45.52,50.84,4.82,4.38,32.15,806,16.68,76.74,4.64,22.17,7.69,17.64,31.35,68.6,10.1,12.34,27.09,31.92,52.8,58.69,12.6,53.7,23.16,57.69,8.55,14.73,28.75,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,36447,12981,35.6161000905424,29.6704804236288,5.21030537492798
"25","Craven",12336,6812,37049,"NC_ Craven County","NC",35.06151,-77.038454,"708.7",37,"#NULL!"," ","91,436","91,084",-0.3,"128.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,NA,NA,434,NA,58,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,325,392,NA,NA,NA,NA,NA,NA,NA,NA,72.17,24.28,3.62,0.47,1.46,NA,1.24,NA,NA,NA,NA,22.41,19.73,15.74,13.29,NA,NA,NA,24.55,29.84,20.93,9.57,7.87,2.97,1.11,0.94,1.13,NA,37,NA,NA,NA,NA,5.3,NA,NA,NA,15.83,18.68,10.84,4.48,38.52,37.13,61.48,62.44,2.24,7.64,31.42,888,19.89,51.9,3.99,20.8,6.59,9.89,17.97,82.1,19.3,16.21,27.53,46.57,32.38,63.49,8.53,61.12,18.88,64.75,11.49,33.33,28.1,NA,0,0,"1",0,0,0,0,0,0,0,0,0,8,68779,19357,28.1437648119339,17.9357071199058,9.90418587068727
"26","Cumberland",34398,15071,37051,"NC_ Cumberland County","NC",35.062334,-78.937654,"650.8",37,"2560","Fayetteville_ NC","302,963","297,200",-1.9,"455.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,963,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.76,36.17,6.24,1.69,3.08,NA,2.39,NA,NA,NA,NA,24.41,21.52,13.3,8.07,NA,NA,NA,22.68,30.52,22.3,9.52,7.77,2.95,1.2,1.02,1.02,NA,37,NA,NA,NA,NA,8.6,NA,NA,NA,23.26,16.89,8.58,6.57,50.32,48.08,49.68,51.6,0.72,6.33,33.78,949,23.63,44.95,5.33,22.93,5.84,10.36,13.73,85,19.1,17.89,24.46,57.68,35.02,64.88,6.51,62.13,16.71,73.59,11.86,40.39,25.55,NA,0,0,"0",0,0,0,0,0,0,0,1,0,11,199272,50140,25.1615881809788,17.2618330723835,7.5630294271147
"27","Currituck",2621,1245,37053,"NC_ Currituck County","NC",36.381322,-75.994179,"261.9",37,"5720","Norfolk-Virginia Beach-Newport News_ VA","18,190","24,278",33.4,"92.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839,632,422,384,43.6,NA,NA,96,168,6,187,497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589,642,671,698,611,613,613,634,530,873,NA,877,273,105,109,152,NA,0,NA,NA,NA,NA,NA,NA,121.6,9.36,2.73,0.53,1.03,174,0.96,NA,NA,NA,NA,24.01,30.29,26.16,18.37,NA,NA,NA,20.49,27.31,21.95,12.79,9.45,2.94,1.13,1.17,1.64,NA,37,NA,NA,NA,329,3.7,208,581,NA,2.29,19.64,6.41,3.63,38.79,32.41,61.21,66.99,2.9,5.7,34.39,NA,13.02,29.66,4.67,14.85,9.51,8.89,20.87,77.6,13.3,10.08,52.37,26.39,35.86,57.17,13.41,57.13,20.8,65.39,9.83,21.76,27.88,NA,0,0,"1",0,0,0,0,0,0,0,0,0,8,17179,3926,22.8534839047675,15.2569998253682,7.24722044356482
"28","Dare",3698,3785,37055,"NC_ Dare County","NC",35.9159,-75.674328,"383.5",37,"#NULL!"," ","29,967","33,768",12.6,"88.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,560,47.8,NA,NA,84,172,2,279,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,899,742,866,968,NA,NA,956,979,843,NA,NA,NA,551,280,293,303,NA,NA,NA,NA,NA,NA,0,NA,107.41,3.48,3.6,0.28,0.93,174,0.58,NA,NA,NA,NA,19,25.78,23.52,17.8,NA,NA,NA,17.38,27.83,23.44,10.48,9.99,3.82,1.94,2.03,2.1,NA,37,NA,NA,NA,808,4.9,97,762,NA,0.58,15.99,4.59,4.87,43.36,39.46,56.64,60.1,3.43,7.15,34.26,NA,11.36,34.66,3.29,12.17,15.09,5.5,8.11,88.6,27.7,12.28,48.6,27.77,29.23,54.84,14.55,67.26,22.66,58.48,11.25,17.66,29.71,NA,0,0,"1",0,0,0,0,0,0,0,0,0,8,27423,7571,27.6082120847464,13.4850308135507,13.8022827553513
"29","Davidson",25108,8557,37057,"NC_ Davidson County","NC",35.845806,-80.203102,"551.3",37,"3120","Greensboro--Winston-Salem--High Point_ NC","147,246","155,124",5.3,"280.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,NA,NA,712,NA,23,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779,462,565,NA,NA,NA,NA,NA,NA,NA,NA,93.17,9.82,5.85,0.48,0.74,NA,1.13,NA,NA,NA,NA,20.24,23.77,19.37,14.21,NA,NA,NA,22.65,28.02,22.28,11.02,8.97,3.04,1.26,0.75,0.91,NA,37,NA,NA,NA,NA,4.1,46,NA,NA,0.06,9.08,30.81,4.09,31.4,28.89,68.6,70.72,0.72,5.14,26.82,888,13.35,75.03,5.13,15.84,6.16,7.05,17.73,72,12.8,13.77,34.02,34.73,31.67,53.27,16,38.56,21.52,47.92,11.29,16.34,27.48,NA,0,1,"0",0,0,0,0,0,0,0,0,0,1,102235,33854,33.1139042402308,24.5591040250403,8.36993201936714
"30","Davie",8760,3274,37059,"NC_ Davie County","NC",35.926548,-80.527393,"265.2",37,"3120","Greensboro--Winston-Salem--High Point_ NC","34,835","39,949",14.6,"150.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,834,822,43.2,NA,NA,145,232,7,278,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,866,962,NA,NA,NA,NA,815,838,NA,NA,NA,557,420,264,319,NA,NA,NA,NA,NA,NA,0,NA,104.79,7.99,6.34,0.42,0.8,239,0.69,NA,NA,NA,NA,20.85,24.95,22.26,17.03,NA,NA,NA,20.63,28.59,19.16,10.68,9.9,3.51,2.65,1.66,2.01,NA,37,NA,NA,NA,654,3.7,0,NA,NA,0,9.97,26.71,3.72,26.39,25.38,73.61,74.17,1.5,5.99,24.31,964,14.55,71.35,5.13,18.87,7.2,6.41,23.64,78.1,17.6,12.77,40.81,32,31.83,55.3,14.27,47.85,19.3,45.87,9.94,14.9,28.41,NA,0,1,"0",0,0,0,0,0,0,0,0,0,1,27332,12207,44.6619347285233,32.0503439192156,11.9786331040539
"31","Duplin",7261,2029,37061,"NC_ Duplin County","NC",34.93148,-77.946337,"817.8",37,"#NULL!"," ","49,063","52,102",6.1,"63.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,923,905,42.8,NA,NA,194,116,96,158,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,938,NA,NA,971,309,161,138,212,NA,NA,NA,NA,NA,NA,NA,NA,76.17,28.87,20.85,0.4,0.32,212,0.43,NA,NA,NA,NA,22.34,21.98,17.27,13.83,NA,NA,NA,33.18,30.2,18.36,7.71,4.98,1.58,0.83,0.71,1.09,NA,37,NA,NA,NA,NA,7.4,58,NA,NA,0.25,13.69,20.21,7.36,45.23,41.75,54.77,57.96,14.03,4.27,26.3,769,12.11,75.78,3.83,16.27,9.23,15.31,33.29,65.8,10.5,11.37,29.09,32.89,47.03,59.07,33.98,49.76,26.67,45.64,10.39,19.28,30.51,NA,0,0,"0",0,0,1,0,0,0,0,0,0,6,28700,9424,32.8362369337979,25.2996515679443,7.06968641114983
"32","Durham",22359,51591,37063,"NC_ Durham County","NC",35.994108,-78.908949,"290.6",37,"6640","Raleigh-Durham-Chapel Hill_ NC","223,314","244,942",9.6,"843.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,NA,NA,999,NA,117,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.64,41.42,12.7,0.45,1.55,NA,4.62,NA,NA,NA,NA,26.41,25.63,16.91,10.87,NA,NA,NA,19.57,24.34,19.73,11.35,10.94,5.81,3.06,2.19,2.11,NA,37,NA,NA,NA,NA,5.1,108,NA,NA,0.09,15.96,9.93,5.11,64.13,67.96,35.87,31.57,0.29,12.41,23.53,NA,36.74,54.78,3.44,31.42,4.93,9.8,1.62,83,40.1,25.38,35.18,49.39,49.36,52.8,12.22,70.21,20.77,46.05,12.34,13.54,30.1,NA,0,0,"1",0,0,0,0,0,0,0,0,0,8,192270,74653,38.8271701253446,11.6289592760181,26.8325791855204
"33","Edgecombe",8359,3526,37065,"NC_ Edgecombe County","NC",35.906617,-77.659794,"505.0",37,"6895","Rocky Mount_ NC","55,606","53,771",-3.3,"106.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,919,911,43.2,NA,NA,166,150,14,168,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,954,NA,NA,NA,362,161,149,127,NA,NA,NA,NA,NA,NA,NA,NA,40.4,55.4,3.74,0.3,0.3,164,0.29,NA,NA,NA,NA,18.84,20.18,17.22,12.3,NA,NA,NA,32.5,29.3,19.32,7.68,5.59,1.82,0.81,0.75,0.64,NA,37,NA,NA,NA,NA,9.6,13,NA,NA,0.05,12.98,23.55,9.63,62.34,61.09,37.66,38.73,2.87,4.93,29.93,781,12.45,84.93,4.39,16.71,5.21,15.96,23.05,65.6,8.5,17.18,25.73,33.26,62.04,51.6,11.32,42.54,26.01,55.53,10.67,18.28,27.54,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,38416,12206,31.7732194918784,21.759162848813,9.17846730528946
"34","Forsyth",41772,37650,37067,"NC_ Forsyth County","NC",36.109518,-80.25717,"408.8",37,"3120","Greensboro--Winston-Salem--High Point_ NC","306,067","329,689",7.7,"804.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,NA,NA,NA,NA,245,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.62,27.86,10.7,0.39,1.26,NA,1.59,NA,NA,NA,NA,21.91,23.89,18.78,13.88,NA,NA,NA,20.79,25.17,19.98,10.98,10.31,4.95,2.27,2.13,2.34,NA,37,NA,NA,NA,NA,4.6,124,NA,NA,0.08,10.19,16.06,4.59,43.66,45.53,56.34,54.12,0.34,8.94,27.97,997,23.99,61.85,5.27,22.67,5.44,7.95,5.26,82,28.7,20.63,36.19,40.22,41.44,52.65,12.37,58.19,19.29,50.66,12.74,14.37,27.21,NA,0,1,"0",0,0,0,0,0,0,0,0,0,1,233744,80282,34.3461222534054,17.870833048121,16.1073653227463
"35","Franklin",9515,4872,37069,"NC_ Franklin County","NC",36.051461,-78.329408,"492.0",37,"6640","Raleigh-Durham-Chapel Hill_ NC","47,260","55,522",17.4,"112.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,856,884,43.1,NA,NA,304,180,14,276,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621,262,93,176,NA,NA,NA,NA,NA,NA,NA,NA,83.36,32.49,8.15,0.64,0.58,194,0.41,NA,NA,NA,NA,23.07,27.65,20.87,13.8,NA,NA,NA,24.12,26.59,22.5,11.69,8.84,2.92,1.23,0.44,0.83,NA,37,NA,NA,NA,NA,4.7,8,NA,NA,0.03,14.08,18.52,4.73,46.72,44.39,53.28,55.17,2.13,6.85,28.77,925,16.01,72.19,4.52,16.29,7.15,9.96,34,73.6,13.2,11.35,42.8,32.63,48.8,57.22,17.26,48.65,23.24,52.5,10.59,16.91,28.11,NA,0,0,"1",0,0,0,0,0,0,0,0,0,8,38408,14592,37.9920849822954,24.7734846906894,12.6848573213914
"36","Gaston",31739,9652,37071,"NC_ Gaston County","NC",35.275439,-81.159551,"357.1",37,"1520","Charlotte-Gastonia-Rock Hill_ NC","190,365","197,518",3.7,"554.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,NA,NA,570,NA,60,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972,753,897,NA,NA,NA,NA,NA,NA,NA,NA,85.95,15.51,5.31,0.3,0.79,NA,1.21,NA,NA,NA,NA,20.91,23.01,18.56,13.16,NA,NA,NA,22.15,27.74,21.5,10.71,8.99,3.98,1.26,0.97,1.16,NA,37,NA,NA,NA,NA,5.7,59,NA,NA,0.06,10.1,26.58,5.66,32.83,31.77,67.17,67.84,0.38,5.82,27.21,924,15.86,72.87,7.2,15.06,4.86,8.32,11.41,71.4,14.2,16.05,33.05,37.9,34.31,58.83,14.78,41.69,21.98,49.12,11.84,15.11,25.2,NA,0,0,"0",0,1,0,0,0,0,0,0,0,3,128852,41664,32.3347716760314,24.6321360941235,7.49076459814361
"37","Gates",1761,632,37073,"NC_ Gates County","NC",36.453978,-76.71316,"340.8",37,"#NULL!"," ","10,516","11,478",9.1,"33.7",740,NA,608,671,869,914,771,633,633,728,914,908,781,725,592,498,415,338,236,244,43.6,NA,NA,55,64,3,44,89,0,NA,NA,NA,724,503,NA,NA,NA,NA,940,567,361,282,325,273,255,295,293,203,313,515,350,110,30,39,17,0,NA,NA,NA,NA,NA,NA,NA,68.65,38.92,0.85,0.52,0.42,67,0.64,NA,NA,NA,NA,19.37,24.25,19.95,16.46,NA,NA,809,28.09,26.65,18.78,11.95,8.12,2.55,0.7,0.91,0.39,NA,37,NA,NA,NA,199,4.4,22,952,933,0.48,20.5,20.92,4.37,56.78,52.33,43.22,47.47,6.07,4.99,27.41,855,11.96,56.49,6.26,19.79,6.42,14.53,34.93,71.4,10.5,11.22,34.6,28.75,54.79,54.76,10.36,50.04,24.34,49.62,10.65,16.55,26.64,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,8150,2476,30.3803680981595,21.6073619631902,7.75460122699387
"38","Graham",2313,290,37075,"NC_ Graham County","NC",35.335071,-83.795295,"292.0",37,"#NULL!"," ","7,993","7,992",0,"27.3",576,NA,483,468,501,493,478,460,463,471,527,535,538,580,493,432,367,294,208,201,47.6,NA,41,586,39,1,11,67,0,NA,NA,NA,635,NA,NA,NA,NA,NA,888,627,411,307,244,266,219,247,161,166,215,206,143,62,18,25,3,0,0,NA,0,NA,NA,0,0,91.51,0.51,0.84,7.33,0.14,40,0.5,NA,NA,NA,NA,17.53,19.18,20.16,18.79,NA,976,542,39.73,28.83,16.01,6.09,4.22,1.83,0.53,0.74,0.09,NA,37,NA,NA,NA,206,5.9,1,695,680,0.03,19.4,19.83,5.88,30.39,31.9,69.61,67.54,4.46,2.4,27.71,591,14.93,76.47,2.91,20.62,8.07,14.4,25.69,68.4,11.2,11.12,26.73,27.84,33.98,59.3,13.87,48.24,23.88,55.82,6.52,14.13,29.03,NA,0,0,"0",0,0,0,0,0,1,0,0,0,9,6600,2643,40.0454545454545,35.0454545454545,4.39393939393939
"39","Granville",8341,4022,37077,"NC_ Granville County","NC",36.2383,-78.658278,"531.1",37,"#NULL!"," ","48,498","53,805",10.9,"101.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,878,870,43.1,NA,NA,371,356,1,373,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,246,208,213,NA,NA,NA,NA,NA,NA,0,NA,70.81,37.86,6.82,0.76,0.77,357,0.74,NA,NA,NA,NA,22.27,26.69,19.96,13.72,NA,NA,NA,24.15,24.87,22.34,11.18,9.07,3.7,1.31,1.11,1.13,NA,37,NA,NA,NA,972,4.4,32,NA,NA,0.15,21,21.63,4.44,51.22,48.69,48.78,51.02,2.66,7.18,26.34,951,16.56,73.34,3.36,24.94,6.54,9.04,28.6,73,13,12.09,37.05,34.55,52.85,53.46,13.66,51.87,22.8,46.97,10.15,15,29.9,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,34701,12632,36.402409152474,24.036771274603,11.5904440794213
"40","Greene",3032,1155,37079,"NC_ Greene County","NC",35.472836,-77.668536,"265.3",37,"#NULL!"," ","18,974","20,040",5.6,"75.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920,748,610,483,343,362,43,NA,NA,81,26,2,72,NA,0,NA,NA,NA,NA,694,NA,NA,NA,NA,NA,NA,638,559,537,479,611,481,452,353,774,458,432,117,39,16,62,0,NA,NA,NA,NA,NA,0,NA,62.46,42.2,11.97,0.43,0.38,28,0.15,NA,NA,NA,NA,22,23.35,18.27,13.42,NA,NA,NA,31.66,29.31,21.95,6.37,6.01,1.63,0.54,0.22,0.86,NA,37,NA,NA,NA,620,7.3,15,NA,NA,0.18,17.77,22.5,7.27,42.5,41.18,57.5,58.71,7.31,3.28,29.27,813,13.5,81.6,4.19,21.09,7.44,15.96,36.92,65.4,8.2,9.85,30.33,31.56,58.43,51.04,21.52,47.35,26.12,51.86,10.36,21.08,27.67,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,11097,4259,38.3797422726863,27.3226998287826,10.4082184374155
"41","Guilford",58520,58448,37081,"NC_ Guilford County","NC",36.061421,-79.851229,"648.0",37,"3120","Greensboro--Winston-Salem--High Point_ NC","421,048","448,028",6.4,"689.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,NA,NA,NA,NA,213,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.94,33.21,5.94,0.52,1.24,NA,3.5,NA,NA,NA,NA,23.11,23.76,18.14,12.96,NA,NA,NA,19.81,26.02,20.62,10.51,9.81,5.11,2.52,2.14,2.5,NA,37,NA,NA,NA,NA,5.5,177,NA,NA,0.08,11.89,17.51,5.47,48.91,50.19,51.09,49.3,0.34,8.96,28.74,NA,28.42,61.23,5.26,18.7,5.23,7.62,3.93,83,30.3,24.36,34.99,40.73,43.68,55.87,11.47,56.21,21.98,50.58,13.23,15.78,27.14,NA,0,0,"1",0,0,0,0,0,0,0,0,0,8,338263,118227,34.9512066055111,17.300148109607,17.2788628966219
"42","Halifax",8554,4070,37083,"NC_ Halifax County","NC",36.347045,-77.674319,"725.6",37,"#NULL!"," ","57,370","55,565",-3.1,"76.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,NA,NA,NA,353,0,269,650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,919,NA,NA,961,482,125,140,148,NA,NA,NA,NA,NA,NA,0,NA,40.02,52.26,1.13,3.49,0.47,353,0.62,NA,NA,NA,NA,18.47,19.82,17.06,14.33,NA,NA,NA,38.4,28.25,17.01,6.31,4.46,2.24,0.58,0.65,0.69,NA,37,NA,NA,NA,NA,8.1,11,NA,NA,0.05,18.26,21.19,8.08,60.41,58.68,39.59,41.17,3.63,3.56,33.18,772,13.15,83.01,4.36,20.06,5.67,19.4,24.59,65.4,11.1,14.52,25.22,30.09,64.06,51.24,9.83,48.14,25.1,59.47,10.98,16.97,28.64,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,35932,12901,35.9039296448848,23.8060781476122,11.3269509072693
