"","County","Total.Votes.For","Total.Votes.Against","fips","County.Name","stabb","lat","lon","sqmiles","state","macode","maname","totpop00","totpop06","chpop","popdens06","pop0_5","pop6_17","pop0_4","pop5_9","pop10_14","pop15_19","pop20_24","pop25_29","pop30_34","pop35_39","pop40_44","pop45_49","pop50_54","pop55_59","pop60_64","pop65_69","pop70_74","pop75_79","pop80_84","pop85up","medage","white","black","natam","asian","pacific","tworace","hispanic","whtnonh","totfam","tothu","owners","renters","vacant","medhhinc","agghhinc","avhhinc","tothh06","hh1per","ihhunder10","ihh10_15k","ihh15_20k","ihh20_25k","ihh25_30k","ihh30_35k","ihh35_40k","ihh40_45k","ihh45_50k","ihh50_60k","ihh60_75k","ihh75_100k","ihh100_125","ihh125_150","ihh150_200","ihh200kpls","inceld65_74","inceld75up","incwhite","incblack","incnatamer","incasian","incpacific","inc2race","pwhite","pblack","phispanic","pnatam","ptworace","asianpac","pasianpac","pop20_34","pop35_49","pop50_64","pop65_up","ppop20_34","ppop35_49","ppop50_64","ppop65_up","ihh0_20","ihh20_40","ihh40_60","pihh0_20","pihh20_40","pihh40_60","pihh60_75","pihh75_100","pihh100_125","pihh125_150","pihh150_200","pihh200_up","Location","statefp","inlabf00","civlab00","emp00","unemp00","pctcivlf00","military00","mfg00","gov00","pmilit00","pgov00","pmfg00","punemp00","pdpres00","pdpres04","prpres00","prpres04","pagri00","pprof00","ptradeser00","mortmonth","pcollroll00","pbornst00","ptransp00","peduc00","pself00","pfampov00","pmobilehh00","phs","pcollege","bigcity2","monied2","boom2","minority2","evangel2","immig2","tractor2","mormon2","service2","empty2","milit2","college2","Counties","bigcity10","monied10","boom10","minority10","evangel10","immig10","tractor10","mormon10","service10","empty10","military10","college10","categories10","Registered.Voters","Ballots.Cast","VoterTurnout","PctRegisteredFor","PctRegisteredAgainst"
"11","Buncombe",33702,35768,37021,"NC_ Buncombe County","NC",35.589706,-82.548613,"655.7",37,"480","Asheville_ NC","206,330","220,685",6.9,"336.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,NA,NA,927,NA,118,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.44,7.78,4.16,0.45,1.2,NA,1.08,NA,NA,NA,NA,20.86,23.22,20.36,16.6,NA,NA,NA,24.07,29.64,21.01,9.32,7.33,3.46,1.31,1.22,1.53,NA,37,NA,NA,NA,NA,4.8,101,NA,NA,0.1,12.81,15.72,4.75,45.54,49.39,54.46,49.99,0.93,7.2,32.07,948,22.93,60.55,3.67,22.72,8.04,7.75,19.21,81.9,25.3,18.81,35.12,34.74,30.15,63.66,12,56.02,20.53,62.03,11.34,14.42,29.42,NA,0,0,"0",0,1,0,0,0,0,0,0,0,3,179516,69994,38.9903963992068,18.7738140332895,19.92468637893
"12","Burke",15309,4451,37023,"NC_ Burke County","NC",35.731737,-81.638371,"506.3",37,"3290","Hickory-Morganton-Lenoir_ NC","89,148","89,242",0.1,"176.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,432,NA,230,595,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686,344,255,358,NA,NA,NA,NA,NA,NA,0,NA,88.55,6.73,4.91,0.48,0.67,NA,3.67,NA,NA,NA,NA,20.29,21.75,18.27,14.35,NA,NA,NA,24.12,30.75,23.62,8.95,6.69,1.95,0.98,0.73,1.02,NA,37,NA,NA,NA,NA,4.2,11,NA,NA,0.02,16.65,35.04,4.19,39.24,38.12,60.76,61.51,0.86,3.64,28.05,787,15.1,73.88,3.54,20.15,5.6,8.01,26.19,67.6,12.8,14.66,28.97,36.16,28.57,63.24,17.63,37.58,19.59,49.21,9.51,15.5,29.58,NA,0,0,"0",0,1,0,0,0,0,1,0,0,3,57497,19902,34.6139798598188,26.6257369949737,7.74127345774562
"13","Cabarrus",25819,11070,37025,"NC_ Cabarrus County","NC",35.404143,-80.599306,"364.6",37,"1520","Charlotte-Gastonia-Rock Hill_ NC","131,063","153,121",16.8,"420.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,681,NA,37,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,786,NA,NA,NA,NA,NA,NA,0,NA,96.4,17.16,9.37,0.52,1.03,NA,1.72,NA,NA,NA,NA,23.15,26.48,19.79,13.64,NA,NA,NA,16.33,24.78,22.42,12.86,11.03,5.78,2.62,1.89,1.35,NA,37,NA,NA,NA,NA,4.2,66,NA,NA,0.09,10.67,17.82,4.23,33.24,32.56,66.76,67.05,0.92,6.78,29.51,NA,15.62,63.22,6.2,17.3,5.23,4.82,12.38,78.2,19.1,13.34,42.89,38.67,36.73,51.75,16.35,50.88,19.29,51.48,12.25,15.25,25.82,NA,0,1,"0",0,0,0,0,0,0,0,0,0,1,112531,37180,33.03978459269,22.9438999031378,9.83728928028721
"14","Caldwell",15995,3855,37027,"NC_ Caldwell County","NC",35.879479,-81.508386,"470.5",37,"3290","Hickory-Morganton-Lenoir_ NC","77,415","79,109",2.1,"167.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,186,393,21,439,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,934,303,181,209,NA,NA,NA,NA,NA,NA,NA,NA,95.3,5.55,3.78,0.24,0.57,414,0.53,NA,NA,NA,NA,19.68,22.62,19.25,14.53,NA,NA,NA,24.9,30.09,22.4,9.17,7.04,2.94,0.96,0.57,0.66,NA,37,NA,NA,NA,NA,3.4,47,NA,NA,0.11,8.97,41.69,3.4,33.13,31.9,66.87,67.58,0.54,3.13,24.04,780,14.3,80.74,5.09,13.91,6.14,7.59,20.11,66.2,10.4,13.34,29.64,35.11,24.73,65.65,15.87,31.26,20.12,41.54,9.12,15.58,27.79,NA,0,0,"0",0,1,0,0,0,0,0,0,0,3,53404,20083,37.6057973185529,29.950940004494,7.21856040746012
"15","Camden",983,430,37029,"NC_ Camden County","NC",36.354766,-76.183537,"240.7",37,"#NULL!"," ","6,885","9,582",39.1,"39.8",684,NA,576,543,649,680,602,523,542,617,767,777,673,656,534,442,361,278,192,170,43.6,NA,NA,30,79,2,38,114,0,NA,NA,NA,449,356,NA,NA,NA,NA,758,349,159,297,163,276,317,309,224,163,439,286,372,220,60,69,0,NA,NA,NA,NA,0,0,NA,NA,118.04,18.97,1.66,0.44,0.55,81,1.18,NA,NA,NA,NA,24.21,31.39,27.06,20.96,805,NA,826,21.55,28.51,22.11,7.66,9.96,5.89,1.61,1.85,0,NA,37,NA,NA,NA,119,3.7,92,317,837,2.78,25.29,9.58,3.6,42.17,34.96,57.83,64.75,3.74,7.74,29.69,902,15.35,56.76,7.68,21.59,8.13,7.89,16.78,82.1,16.2,9.25,49.1,25.88,41.91,55.27,9.22,59.86,20.53,62.7,9.54,27.13,26.52,NA,0,1,"0",0,0,0,0,0,0,0,0,0,1,7310,1439,19.6853625170999,13.4473324213406,5.88235294117647
"16","Carteret",11006,5712,37031,"NC_ Carteret County","NC",34.744079,-76.793188,"520.2",37,"#NULL!"," ","59,383","63,248",6.5,"121.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,NA,NA,340,457,50,550,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,301,391,NA,NA,NA,NA,NA,NA,NA,NA,96.72,7.43,2.15,0.57,0.93,507,0.85,NA,NA,NA,NA,18.04,22.33,22.73,19.88,NA,NA,NA,23.89,27.41,21.08,9.95,8.72,3.82,1.48,1.11,1.45,NA,37,NA,NA,NA,NA,5,703,NA,NA,2.4,20.68,6.99,4.85,33.71,30.23,66.29,69.27,2.97,6.99,31.53,949,18.01,59.45,4.04,18,11.27,7.98,25.72,82.1,19.8,13.62,39.35,27.24,33.75,57.97,10.95,62.69,22.14,59.52,8.94,21.12,29.33,NA,0,1,"0",0,0,0,0,0,0,0,0,0,1,48924,17886,36.5587441746382,22.4961164254762,11.6752514103507
"17","Caswell",3388,1493,37033,"NC_ Caswell County","NC",36.400472,-79.361473,"424.6",37,"#NULL!"," ","23,501","23,380",-0.5,"55.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,633,448,433,43.1,NA,NA,56,51,7,64,650,0,NA,NA,NA,NA,985,NA,NA,NA,NA,NA,NA,639,579,666,554,726,492,595,477,861,921,657,159,63,53,35,0,0,NA,NA,NA,NA,0,NA,64.48,34.25,2.77,0.24,0.27,58,0.25,NA,NA,NA,NA,18.81,22.56,19.82,14.24,NA,NA,NA,27.07,27.85,22.08,10.52,7.5,1.82,0.72,0.61,0.4,NA,37,NA,NA,NA,702,6.5,4,NA,NA,0.04,14.28,32.57,6.46,48.93,48.1,51.07,51.58,2.88,3.71,24.38,737,14.47,65.49,4.74,16.91,7.64,10.86,31.27,69.2,8.3,10.81,29.97,29.14,51.65,49.44,13.08,38.28,26.31,42.48,9.62,16.91,28.7,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,15375,5024,32.6764227642276,22.0357723577236,9.71056910569106
"18","Catawba",25984,9025,37035,"NC_ Catawba County","NC",35.696672,-81.249727,"399.6",37,"3290","Hickory-Morganton-Lenoir_ NC","141,685","153,189",8.1,"383.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,NA,NA,470,NA,79,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918,744,899,NA,NA,NA,NA,NA,NA,0,NA,94.54,9.03,9.17,0.33,0.89,NA,3.33,NA,NA,NA,NA,21.97,23.9,19.35,13.92,NA,NA,NA,19.8,28.93,23.1,11.05,8.38,3.47,1.52,1.23,1.48,NA,37,NA,NA,NA,NA,3.3,124,NA,NA,0.16,8.98,36.95,3.26,32.18,32.13,67.82,67.48,0.55,4.86,26.55,905,16.56,68.56,4.61,14.13,4.76,6.54,16.23,74.8,17,14.28,35.54,37.36,28.02,56.08,20.83,36.98,18.44,44.2,13.4,17.28,28.32,NA,0,1,"0",0,0,0,0,0,0,0,0,0,1,101194,35230,34.8143170543708,25.6774117042512,8.91851295531356
"19","Chatham",9507,11100,37037,"NC_ Chatham County","NC",35.735933,-79.258747,"682.8",37,"6640","Raleigh-Durham-Chapel Hill_ NC","49,329","59,048",19.7,"86.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,234,NA,119,452,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,993,459,496,624,NA,NA,NA,NA,NA,NA,0,NA,99.11,16.58,13.83,0.47,0.92,NA,2.62,NA,NA,NA,NA,21.79,26.57,22.56,18.84,NA,NA,NA,21.36,25.64,20.06,10.69,10.57,4.15,1.92,2.07,2.61,NA,37,NA,NA,NA,751,2.9,28,NA,NA,0.11,18.26,21.59,2.9,50.51,49.75,49.49,49.73,2.68,8.38,22.65,NA,16.88,62.74,3.26,22.69,8.49,7.1,20.16,77.9,27.6,15.16,44.48,32.53,36.96,56.24,18.79,58.37,17.54,42.24,9.92,14.24,30.87,NA,0,1,"0",0,0,0,0,0,0,0,0,0,1,44266,20776,46.9344417837618,21.4769800750011,25.0756788505851
"20","Cherokee",5020,1403,37039,"NC_ Cherokee County","NC",35.110726,-84.00854,"455.5",37,"#NULL!"," ","24,298","26,115",7.4,"57.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782,770,47.8,NA,494,376,113,0,259,315,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,985,749,736,712,513,798,706,558,193,52,43,115,NA,NA,NA,NA,NA,NA,0,NA,102.37,2.03,1.3,1.55,1.07,113,0.47,NA,NA,NA,NA,18.15,19.91,22.49,22.59,NA,NA,NA,33.72,31.96,18.04,6.29,4.98,1.72,0.46,0.38,1.03,NA,37,NA,NA,NA,595,5.5,40,NA,NA,0.37,14.05,20.14,5.51,33.94,32.46,66.06,67.12,2.85,4.79,30.76,665,17.35,54.79,3.88,19.55,10.33,11.65,22.77,73.3,11,12.54,33.34,24.39,28.89,68.85,13.81,52.16,20.65,62.9,8.6,14.84,30.37,NA,0,0,"0",0,1,0,0,0,0,0,0,0,3,21694,6500,29.9622015303771,23.1400387203835,6.46722596109523
